# HC-regime movers, test year 2023 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2023.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Barry Odom,UNLV,Missouri:2016; Missouri:2017; Missouri:2018; Missouri:2019,Marcus Arroyo,
Jamey Chadwell,Liberty,Coastal Carolina:2017; Coastal Carolina:2019; Coastal Carolina:2021; Coastal Carolina:2022,Hugh Freeze (+ bowl interim: Josh Aldridge 1 g),
Jeff Brohm,Louisville,Western Kentucky:2014; Western Kentucky:2015; Western Kentucky:2016; Purdue:2017; Purdue:2018; Purdue:2019; Purdue:2021; Purdue:2022,Scott Satterfield (+ bowl interim: Deion Branch 1 g),
Kevin Wilson,Tulsa,Indiana:2014; Indiana:2015; Indiana:2016,Philip Montgomery,
Scott Satterfield,Cincinnati,App State:2014; App State:2015; App State:2016; App State:2017; App State:2018; Louisville:2019; Louisville:2021; Louisville:2022,Luke Fickell (+ bowl interim: Kerry Coombs 1 g),
Tom Herman,Florida Atlantic,Houston:2015; Houston:2016; Texas:2017; Texas:2018; Texas:2019,Willie Taggart,
# --- excluded candidates ---
# Hugh Freeze -> Auburn: baseline year not a single full-season HC regime: Bryan Harsin (8 g); Cadillac Williams (4 g)
# Matt Rhule -> Nebraska: baseline year not a single full-season HC regime: Mickey Joseph (9 g); Scott Frost (3 g)
# Nunzio Campanile -> Syracuse: partial test-year season (2 games)
# Rich Rodriguez -> Jacksonville State: destination not FBS in baseline year
